;remove_stopwords;remove_shortwords;stemmed;vectorizer;features_number;ngrams_range;classifier;test_accuracy;train_accuracy;train_test_time
0;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 1, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 1);"LogisticRegressionC=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False";74.23232323232322;82.67910447761194;2.16
1;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 2, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 2);"LogisticRegressionC=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False";74.51515151515152;83.38059701492537;3.64
2;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 3, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 3);"LogisticRegressionC=1.0, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False";74.4090909090909;83.28358208955224;5.82
3;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 1, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 1);"LinearSVCC=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0";72.5;85.2363184079602;5.92
4;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 2, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 2);"LinearSVCC=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0";72.71717171717171;85.82835820895522;7.54
5;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 3, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 3);"LinearSVCC=1.0, class_weight=None, dual=True, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=None, tol=0.0001,
     verbose=0";72.75252525252526;85.72139303482587;7.94
6;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 1, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 1);MultinomialNBalpha=1.0, class_prior=None, fit_prior=True;74.03030303030303;80.46268656716418;1.17
7;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 2, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 2);MultinomialNBalpha=1.0, class_prior=None, fit_prior=True;74.13636363636364;79.97512437810946;3.16
8;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 3, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 3);MultinomialNBalpha=1.0, class_prior=None, fit_prior=True;74.12121212121212;79.863184079602;4.39
9;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 1, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 1);BernoulliNBalpha=1.0, binarize=0.0, class_prior=None, fit_prior=True;74.56565656565657;80.71890547263682;1.19
10;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 2, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 2);BernoulliNBalpha=1.0, binarize=0.0, class_prior=None, fit_prior=True;74.86363636363636;80.32089552238806;3.19
11;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 3, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 3);BernoulliNBalpha=1.0, binarize=0.0, class_prior=None, fit_prior=True;74.81313131313131;80.24875621890547;4.21
12;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 1, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 1);"RandomForestClassifierbootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False";71.38383838383838;97.2139303482587;12.71
13;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 2, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 2);"RandomForestClassifierbootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False";71.4040404040404;97.04228855721394;14.16
14;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 3, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 3);"RandomForestClassifierbootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False";71.56060606060606;97.02985074626865;16.11
15;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 1, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 1);"DecisionTreeClassifierclass_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'";67.98484848484848;98.75621890547264;14.06
16;True;True;False;"CountVectorizeranalyzer='word', binary=False, decode_error='strict',
        dtype=<class 'numpy.int64'>, encoding='utf-8', input='content',
        lowercase=True, max_df=1.0, max_features=10000, min_df=1,
        ngram_range=1, 2, preprocessor=None, stop_words=None,
        strip_accents=None, token_pattern='?u\\b\\w\\w+\\b',
        tokenizer=None, vocabulary=None";10000;(1, 2);"DecisionTreeClassifierclass_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'";68.05050505050505;98.50497512437812;15.73
